id,variant_color,variant_size,normalized_size,normalized_color,size_type,product_name,category_name,category_path
3f92b18a-fb1e-4667-bcdf-1514f236d149,Yellow,38,UK 11,Yellow,,Etro Long striped cardigan,Topwear,women/clothing/topwear
6f8f3112-5b52-4e5e-b092-cc6add241624,Yellow,40,UK 11,Yellow,,Etro Long striped cardigan,Topwear,women/clothing/topwear
47b883ee-816f-4174-ad74-f356b9bd9523,Yellow,42,UK 11,Yellow,,Etro Long striped cardigan,Topwear,women/clothing/topwear
6da0ad4d-c88b-4477-9333-b91ef57ee08f,Black,40,UK 3,Black,,Erika Cavallini Semi-Couture Skirts Black,Skirts,women/clothing/skirts
0bd2d8cc-bb6f-450d-8810-eee6310e1475,Black,38,UK 5,Black,,Coperni Logo-patch bomber cape,Jackets,women/clothing/jackets
928317b5-a7ef-4131-a5ee-2194de4a5988,Fuchsia,UNI,UK 5,Pink,,Az Factory Pre Az Factory x Ester Manas Round Cake tote bag,Clutches,women/bags/clutches
8f1b41a2-6a8d-49cc-b48f-6652297de02f,Black,0,S,Black,,STUDIO NICHOLSON Trousers Black,Trousers,women/clothing/trousers
96352f7f-4e0d-4b14-a9a1-176d9876c6e5,Black,0,S,Black,,STUDIO NICHOLSON Trousers Black,Trousers,women/clothing/trousers
502da32d-66cd-4ee2-9dbf-dd1f7a912639,Black,1,S,Black,,STUDIO NICHOLSON Trousers Black,Trousers,women/clothing/trousers
f68723e3-539f-48a2-ba36-31cc20a7f15b,Black,2,S,Black,,STUDIO NICHOLSON Trousers Black,Trousers,women/clothing/trousers
c57c2571-ff90-4e83-8e78-74892ad4078c,Black,L,S,Black,,WARDROBE.NYC WARDROBE NYC Trousers Black,Trousers,women/clothing/trousers
e4961f04-fb2b-46b6-8883-3f2f06ad3c58,Black,M,S,Black,,WARDROBE.NYC WARDROBE NYC Trousers Black,Trousers,women/clothing/trousers
3e9d8486-4c0d-4d7e-a34d-a5d0415de7de,Black,S,S,Black,,WARDROBE.NYC WARDROBE NYC Trousers Black,Trousers,women/clothing/trousers
e83b413a-afc5-4797-83df-4fadee879ca3,Grey,38,UK 5,Grey,,ARMARIUM Jackets Grey,Jackets,women/clothing/jackets
1ad3e663-d393-44b9-8e43-7215f12f8ef9,Grey,40,UK 5,Grey,,ARMARIUM Jackets Grey,Jackets,women/clothing/jackets
de6eb792-4115-4f73-b74d-4f15862c1b67,Grey,42,UK 5,Grey,,ARMARIUM Jackets Grey,Jackets,women/clothing/jackets
97ef915d-d245-4a27-9b40-fac9317ac892,Grey,38,UK 3,Grey,,Circus Hotel Dresses Grey,Dresses,women/clothing/dresses
69dca2f6-b855-4776-bfca-370243f801b1,Blue,36,UK 4,Blue,,MASHA POPOVA Boots Blue,Boots,women/shoes/boots
f068523f-6722-47d3-8726-1aeffa95f43c,Blue,37,UK 4,Blue,,MASHA POPOVA Boots Blue,Boots,women/shoes/boots
01979e69-5a7a-4a3c-9707-44873b31c686,Blue,38,UK 4,Blue,,MASHA POPOVA Boots Blue,Boots,women/shoes/boots
9e7cb845-43a8-43b6-b8a4-aae0d5d2739f,Blue,39,UK 4,Blue,,MASHA POPOVA Boots Blue,Boots,women/shoes/boots
